type,code,name,ISIN,start,market,group,CFI
股票,2615,萬海,TW0002615002,5/16/1996,上市,航運業,ESVUFR
股票,9914,美利達,TW0009914002,9/30/1992,上市,其他業,ESVUFR
股票,2371,大同,TW0002371002,2/9/1962,上市,電機機械,ESVUFR
股票,2618,長榮航,TW0002618006,9/17/2001,上市,航運業,ESVUFR
股票,1503,士電,TW0001503001,12/15/1969,上市,電機機械,ESVUFR
股票,3013,晟銘電,TW0003013009,9/16/2002,上市,電腦及週邊設備業,ESVUFR
股票,3550,聯穎,TW0003550000,11/10/2010,上市,電子零組件業,ESVUFR
股票,2707,晶華,TW0002707007,3/9/1998,上市,觀光事業,ESVUFR
股票,6278,台表科,TW0006278005,8/24/2010,上市,光電業,ESVUFR
股票,2358,廷鑫,TW0002358009,12/18/1996,上市,其他業,ESVUFR
股票,3579,尚志,TW0003579009,12/23/2009,上市,半導體業,ESVUFR
股票,2613,中櫃,TW0002613007,1/20/1995,上市,航運業,ESVUFR
股票,2492,華新科,TW0002492006,9/17/2001,上市,電子零組件業,ESVUFR
股票,3004,豐達科,TW0003004008,2/25/2002,上市,鋼鐵工業,ESVUFR
股票,6209,今國光,TW0006209000,11/8/2004,上市,光電業,ESVUFR
股票,2438,翔耀,TW0002438009,9/11/2000,上市,光電業,ESVUFR
股票,3682,亞太電,TW0003682001,8/5/2013,上市,通信網路業,ESVUFR
股票,3518,柏騰,TW0003518007,11/28/2007,上市,其他電子業,ESVUFR
股票,3706,神達,TW0003706008,9/12/2013,上市,電腦及週邊設備業,ESVUFR
股票,5906,台南-KY,KYG8661M1078,10/24/2011,上市,貿易百貨業,ESVUFR
股票,2359,所羅門,TW0002359007,12/19/1996,上市,其他電子業,ESVUFR
股票,1773,勝一,TW0001773000,2/27/2009,上市,化學工業,ESVUFR
股票,5469,瀚宇博,TW0005469001,8/25/2003,上市,電子零組件業,ESVUFR
股票,1721,三晃,TW0001721009,5/16/1996,上市,化學工業,ESVUFR
股票,1618,合機,TW0001618007,9/11/2000,上市,電器電纜,ESVUFR
股票,2377,微星,TW0002377009,10/31/1998,上市,電腦及週邊設備業,ESVUFR
股票,2488,漢平,TW0002488004,9/17/2001,上市,其他電子業,ESVUFR
股票,1418,東華,TW0001418002,2/14/1977,上市,紡織纖維,ESVUFR
股票,3023,信邦,TW0003023008,8/26/2002,上市,電子零組件業,ESVUFR
股票,4526,東台,TW0004526009,9/15/2003,上市,電機機械,ESVUFR
股票,4906,正文,TW0004906003,6/30/2003,上市,通信網路業,ESVUFR
股票,3045,台灣大,TW0003045001,8/26/2002,上市,通信網路業,ESVUFR
股票,1443,立益,TW0001443000,4/21/1990,上市,紡織纖維,ESVUFR
股票,3694,海華,TW0003694006,5/3/2011,上市,通信網路業,ESVUFR
股票,5521,工信,TW0005521009,12/18/2012,上市,建材營造業,ESVUFR
股票,1234,黑松,TW0001234003,3/12/1999,上市,食品工業,ESVUFR
股票,8464,億豐,TW0008464009,12/22/2015,上市,其他業,ESVUFR
股票,2471,資通,TW0002471000,9/17/2001,上市,資訊服務業,ESVUFR
股票,2450,神腦,TW0002450004,5/24/2001,上市,通信網路業,ESVUFR
股票,2107,厚生,TW0002107000,3/3/1992,上市,橡膠工業,ESVUFR
股票,2348,海悅,TW0002348000,1/5/1996,上市,其他業,ESVUFR
股票,4904,遠傳,TW0004904008,8/24/2005,上市,通信網路業,ESVUFR
股票,2886,兆豐金,TW0002886009,2/4/2002,上市,金融保險業,ESVUFR
股票,8131,福懋科,TW0008131004,11/29/2007,上市,半導體業,ESVUFR
股票,1616,億泰,TW0001616001,9/11/2000,上市,電器電纜,ESVUFR
股票,2516,新建,TW0002516002,5/25/1993,上市,建材營造業,ESVUFR
股票,1734,杏輝,TW0001734002,8/26/2002,上市,生技醫療業,ESVUFR
股票,1737,臺鹽,TW0001737005,11/18/2003,上市,食品工業,ESVUFR
股票,1447,力鵬,TW0001447001,1/28/1992,上市,紡織纖維,ESVUFR
股票,3413,京鼎,TW0003413001,7/28/2015,上市,半導體業,ESVUFR
股票,6257,矽格,TW0006257009,8/25/2003,上市,半導體業,ESVUFR
股票,1101,台泥,TW0001101004,2/9/1962,上市,水泥工業,ESVUFR
