code,price
2534,39.6
6226,9.81
3596,69.5
1457,14.55
3090,85.2
2308,111.0
1455,10.4
1582,62.9
1514,17.1
3450,105.5
1720,34.3
3514,13.4
2426,19.85
4984,51.6
6235,18.15
1526,42.5
6136,23.9
2537,7.72
4915,60.5
8215,19.2
2382,54.0
3437,28.3
1410,24.3
2612,28.3
3532,138.0
3209,20.05
1776,21.05
4104,50.8
5203,67.7
2722,30.4
6477,23.05
2102,12.5
3669,20.85
2454,310.0
8222,19.0
2849,13.5
2466,32.95
2007,4.98
5521,10.55
2405,17.8
1524,10.75
2313,35.6
2504,9.54
2929,106.5
2388,46.1
2492,357.0
8488,25.9
2910,27.5
6133,9.26
3006,40.55
1108,7.95
8114,115.0
2002,23.8
1528,16.25
2436,28.3
2373,91.5
8374,29.1
1445,8.18
6464,119.0
1225,82.3
9931,32.7
2486,11.95
6120,28.9
2020,15.95
1440,14.0
2413,38.1
2474,345.5
2236,59.9
6145,8.01
2442,8.6
4943,320.5
2105,45.55
2603,14.35
2329,9.55
5215,24.2
8940,14.0
2536,21.8
6192,63.8
2923,18.65
1473,20.95
3561,11.3
2543,7.9
2801,17.7
6582,52.2
1713,17.8
2906,12.2
1234,31.8
1905,10.6
8467,31.5
2408,90.4
5522,32.95
1233,38.2
8033,14.5
6166,55.5
6243,15.35
2605,16.65
3622,17.8
1773,85.2
2885,13.9
4532,31.3
3038,9.19
3706,32.9
3593,8.17
3021,15.65
5515,11.55
2434,17.35
3051,3.63
2415,23.3
8021,21.0
3576,10.35
4956,23.9
9924,34.65
2484,20.2
4952,43.2
3406,531.0
2634,31.7
2440,12.6
1734,21.9
2406,12.3
8101,2.63
1537,146.0
6412,51.6
2010,11.25
9908,27.75
2390,10.55
5525,21.85
2615,16.65
6191,15.35
8411,17.15
1539,18.7
8427,42.25
1541,39.6
2506,11.7
1762,23.95
2428,90.8
1227,63.0
2069,24.45
2207,283.5
4960,10.4
1417,6.08
6155,34.6
6202,74.9
5225,22.5
4934,9.16
2834,9.58
9907,12.6
1904,17.05
2748,58.4
2706,14.9
6117,16.1
5259,7.12
2009,10.95
6115,44.9
1531,20.3
2352,21.3
2467,26.35
3035,60.4
1231,37.9
2006,23.95
1262,30.0
2227,254.5
2618,15.1
3536,12.65
9943,59.3
1604,13.9
8249,24.8
2395,204.5
1522,33.45
2455,115.0
2360,164.5
1467,12.0
6552,57.1
1727,14.65
3504,142.0
1437,19.75
1465,14.6
9938,70.5
1515,38.1
2542,46.25
4106,28.1
6141,22.55
8103,26.2
1313,20.05
3528,36.7
8442,57.8
2324,19.55
1603,25.85
2608,39.35
1453,9.6
1568,30.6
2912,323.0
1538,4.21
2509,35.8
4545,33.6
6172,11.3
2014,12.6
2851,21.2
1216,75.9
2812,10.5
8213,29.0
8011,19.2
9935,18.25
2114,95.3
3026,202.0
2908,23.2
3028,25.1
3049,8.6
4904,77.6
2347,46.9
3311,16.7
2344,19.2
2332,14.9
2867,16.5
2363,13.5
6409,503.0
2355,39.75
8039,42.75
1783,34.05
2524,22.95
2606,33.4
3535,14.95
4737,57.0
2887,14.5
1468,9.88
8443,14.7
6005,11.25
4141,25.3
2528,17.3
2820,14.35
2028,11.15
2104,46.0
2012,19.8
2642,25.4
5284,62.0
5608,7.42
2393,40.25
3605,21.5
6112,36.45
2850,36.65
3257,65.1
2443,6.59
8112,34.3
2464,43.8
2354,74.2
8070,130.5
3036,44.7
2465,20.0
2399,16.0
3702,43.55
1732,11.65
1810,9.56
5533,16.15
2891,21.85
2903,19.55
1725,18.35
2371,27.0
1590,438.0
6230,87.8
1730,48.8
3055,27.4
1786,75.1
2601,12.5
3705,41.0
3164,32.85
1589,68.6
2493,26.4
1219,18.6
1723,147.0
2614,13.3
4994,46.0
2108,29.0
3432,15.4
5519,12.35
4725,29.25
1434,33.95
2633,23.7
3682,8.01
2427,10.85
3060,22.4
9926,40.3
3004,58.4
4722,34.1
1203,25.8
3011,9.84
3416,50.1
2607,13.45
6205,27.45
8163,83.9
1902,18.7
2483,21.95
1616,6.2
6269,92.6
8341,213.0
1612,11.25
3673,63.3
3094,24.0
6201,31.3
8201,15.55
9802,61.9
2498,56.9
9940,36.1
2029,26.3
3266,11.35
2905,24.65
2495,12.85
3308,8.12
2301,38.1
1464,24.85
1339,41.35
4755,52.2
2059,429.0
2208,19.1
6142,8.5
3591,19.45
2884,21.2
5871,103.0
5538,42.3
9937,40.25
6451,160.5
5534,95.0
1909,28.55
3419,19.15
4919,64.5
2358,27.0
3030,66.2
3056,24.25
3054,19.45
2451,87.8
3376,87.9
1614,24.4
6251,9.83
2897,8.51
2457,11.0
2712,26.95
6116,9.75
5007,55.8
2106,33.45
2024,11.3
1256,177.0
2636,23.95
3024,7.03
2845,10.15
2459,42.05
3338,22.65
4807,65.0
2337,45.15
4912,193.0
2472,77.0
6153,65.0
2317,83.0
6277,91.2
1722,43.5
2450,50.2
1213,14.6
1201,23.55
1304,14.5
3032,33.65
1525,74.8
8404,48.65
1441,14.75
1104,20.9
2832,21.1
6168,19.75
1712,17.2
1324,12.55
6108,22.65
2489,14.8
2115,37.55
8072,24.7
2527,34.9
2482,12.3
2499,12.15
3062,18.45
2731,112.5
3059,39.7
1301,107.5
1710,32.35
5305,44.9
1608,11.7
1809,13.45
3413,192.0
2468,12.2
1789,32.7
1617,13.95
8454,220.5
2412,110.0
4164,32.75
8110,14.15
2430,24.25
8926,26.95
2491,7.9
2231,361.0
3550,24.75
6271,105.5
4906,27.45
2485,26.05
3321,10.45
6525,85.5
2855,14.95
4938,67.0
2530,15.3
1235,38.8
2516,6.6
1817,40.1
2424,37.1
2448,41.4
3583,61.3
1611,11.8
2017,9.82
6176,61.0
2809,33.2
3312,10.8
2032,10.2
2471,15.2
6209,35.75
2478,133.0
1609,14.35
1423,10.15
1733,28.75
3701,7.38
2886,26.6
5388,69.8
1454,8.16
2480,39.6
8422,188.5
6152,8.44
8081,67.0
3034,140.5
2321,3.03
3296,15.2
3005,47.25
2362,34.55
2015,59.7
6281,64.5
1307,30.0
4526,21.65
2462,29.0
1708,28.65
8473,66.3
2377,106.0
1805,14.2
2497,25.05
2417,12.6
2312,9.96
9912,9.54
8271,40.35
2539,29.3
6278,26.9
6431,12.6
6443,9.19
2345,83.0
6605,79.7
9905,26.4
3679,78.7
1312,29.15
1326,114.5
2107,15.1
1409,12.05
9921,126.0
3356,33.2
3579,15.7
3003,54.2
4935,37.0
6216,29.25
1529,3.37
6214,66.2
5243,33.95
1532,29.15
2611,7.88
2739,31.9
2368,10.05
1711,18.6
3015,24.55
2481,57.6
1704,44.9
4560,57.0
6224,72.6
1726,79.9
6533,130.5
2883,11.1
3494,9.82
3380,21.2
1472,38.45
9904,35.45
2356,24.75
2338,33.35
1598,34.65
8105,14.9
1102,33.1
1217,7.88
2637,29.0
6285,73.4
1456,9.24
1109,15.9
8463,31.2
4414,14.8
2376,73.6
1702,61.6
1521,81.2
2323,10.7
2707,152.0
4958,67.6
1466,10.35
2340,30.4
3653,68.8
2022,6.62
8429,26.15
2429,12.75
2882,55.5
1435,5.49
2353,26.3
8464,275.0
2613,12.75
1303,84.4
2617,16.85
1903,32.45
9910,139.5
3645,83.0
3025,33.95
2034,27.1
9944,18.8
1232,94.6
1442,19.8
1506,20.5
3519,13.95
9906,13.8
2458,46.9
5269,430.0
3703,13.1
2379,114.0
2852,13.8
1503,41.05
2816,18.35
2488,29.8
2609,9.69
1717,27.35
2441,54.1
4968,90.0
9946,14.9
1443,6.26
6504,176.0
4148,114.5
1519,22.6
2915,62.4
6442,37.3
1536,149.0
5471,31.25
1414,7.81
9914,126.5
1533,37.65
2892,20.5
1340,39.25
9942,86.5
2349,17.8
4557,70.8
9918,33.3
2109,15.4
3043,2.3
1736,29.0
2201,22.1
6452,366.5
9934,19.65
3149,15.65
1527,58.6
1402,29.0
4746,54.4
1438,6.98
2206,21.45
2890,11.15
9927,39.6
3033,23.5
2515,8.42
3229,17.5
2364,4.03
9930,59.2
4763,120.0
3019,99.0
2359,23.05
2501,17.2
1419,47.1
6283,52.9
2511,11.2
9928,5.4
1432,10.05
1418,11.2
2421,40.75
2365,12.1
5706,37.75
2397,77.3
1110,14.05
4976,58.8
2727,99.0
3041,15.6
2420,35.25
1463,23.15
8210,42.5
6414,449.0
4555,75.3
9929,12.1
3617,89.0
2425,30.3
2423,23.6
5288,87.2
8480,142.0
3346,57.7
5907,33.35
1618,9.7
1806,7.72
1439,40.25
3545,27.5
1802,17.3
4927,22.6
2101,26.3
6215,22.5
2610,9.87
1314,12.85
1474,12.2
2374,16.7
2540,29.1
2597,38.55
2438,9.54
1215,60.0
2456,None
2904,20.0
2520,22.65
2704,22.5
2369,12.95
2033,12.05
6128,36.7
3029,23.35
4426,38.0
9955,12.9
3037,17.2
3383,3.32
1808,56.8
2025,3.99
6225,4.78
1475,24.6
5607,17.3
5434,79.9
2385,73.2
3058,8.29
3047,10.6
1469,13.85
1504,23.4
2387,16.7
8481,44.5
3046,22.8
6184,37.15
2357,279.0
1737,29.95
2330,226.0
2547,11.15
2062,35.95
1101,44.75
3305,23.4
2239,166.5
1558,128.0
3443,294.5
1530,39.0
2419,22.05
5285,83.1
1446,23.25
2351,91.0
2049,361.0
2392,35.15
2439,143.5
4930,11.9
1459,9.03
1731,14.2
6257,37.8
1906,22.05
6422,72.4
2461,14.9
5264,77.5
2302,10.7
2889,10.95
1470,None
1507,49.0
4942,23.0
5484,6.78
3023,82.0
2881,53.7
3698,19.4
8016,112.5
3048,17.95
4108,22.8
4119,64.5
2823,32.15
1436,39.8
9958,70.2
4999,49.7
1476,350.0
6282,19.05
1451,25.3
2546,25.5
