code,price
1474,12.3
1540,15.85
8033,15.0
1419,46.8
8404,50.6
6172,11.55
3266,11.3
2428,92.1
4557,71.3
4737,56.9
4968,89.7
2362,35.3
8443,15.05
2836,9.47
8454,220.5
5388,71.0
2349,17.7
6552,59.8
8039,46.4
6225,4.48
2891,22.15
2812,10.5
9924,34.65
2031,41.35
2605,17.0
1617,14.15
2542,45.9
2024,11.2
1434,33.9
1605,22.75
3051,3.76
2434,16.85
3167,49.65
3023,84.1
8261,57.5
3056,24.25
4104,51.4
2365,12.2
4938,66.2
2634,32.4
2608,39.5
6141,24.55
3025,34.45
6285,73.1
2404,67.2
1538,4.2
2424,37.25
4999,50.0
3416,50.6
4912,195.5
1308,17.8
2892,20.7
5258,20.2
1418,None
1439,43.0
1805,14.25
6152,8.7
1446,24.55
2809,33.95
6422,72.7
2115,38.0
4725,29.4
6414,447.5
2029,26.5
2511,11.2
8213,28.95
8112,34.45
2106,34.35
3060,22.9
3021,16.0
1711,19.05
3705,41.45
9911,40.1
3005,44.05
2923,18.95
3519,13.8
2823,32.4
1457,14.8
1229,38.0
1477,135.0
3607,28.5
6278,27.4
3062,18.5
8215,20.45
2038,12.15
6452,370.0
1735,16.4
1413,15.05
2936,25.9
2352,21.3
2375,80.9
2430,24.6
1723,146.5
3533,207.0
2543,8.0
2488,30.2
2007,5.08
1503,41.3
8341,212.5
6449,65.8
9921,134.0
1210,39.1
1809,14.15
2308,113.5
2897,8.53
6196,75.8
2485,26.2
1455,10.85
1466,10.35
2069,24.7
6216,29.6
1459,9.12
1786,79.1
2109,16.15
8072,24.9
1589,71.9
4904,76.2
2312,9.98
1453,9.79
1215,60.5
2540,30.25
2731,116.0
6184,37.1
3030,68.5
4942,23.15
1216,74.2
5225,22.35
2025,4.0
4916,38.3
9802,62.6
1604,14.0
1524,10.8
3010,57.5
2347,46.8
8464,276.5
1445,8.21
2856,11.15
2305,9.52
3704,14.0
2534,40.1
2851,21.25
1101,45.25
2393,40.3
1220,12.1
3094,24.6
5259,7.0
5305,43.9
2002,23.65
1789,32.4
1734,22.1
1704,44.75
2330,231.0
2483,22.35
1476,356.5
2423,23.75
1473,21.35
2108,29.3
6116,9.8
8046,26.45
3046,23.0
2401,16.65
2397,77.6
2392,36.8
1707,231.0
1592,30.8
1217,7.91
3054,19.25
2380,6.62
1470,18.5
1236,16.7
2509,33.45
1533,38.15
2450,50.7
2329,9.77
1465,14.85
4722,33.95
2328,22.8
2484,20.8
9955,12.85
9931,None
2516,6.64
3596,72.1
1507,49.95
6235,17.0
6202,77.8
5607,17.45
1262,30.8
1313,20.3
5871,107.5
2342,54.3
9940,42.55
2727,99.7
2313,37.7
1110,14.05
9907,12.65
3002,10.65
6531,89.5
2443,6.85
9929,12.1
6415,713.0
2904,20.2
2601,13.1
2524,23.2
1464,24.9
1907,12.75
3536,13.0
1416,18.1
1203,25.75
3050,13.0
3686,6.2
1447,8.5
2454,315.0
5521,10.85
2880,17.85
1225,82.2
2481,59.5
2617,17.3
3015,25.3
1103,13.8
